"dimension","correlation","scheme","metric","replications","mean","ci_lower","ci_upper"
"n=500, p=100","ar1_rho_0.9","quantile_4","delta_mean_jaccard_2s",100,0.0120248365161409,-0.00252386604540356,0.0265735390776853
"n=500, p=100","ar1_rho_0.9","quantile_8","delta_mean_entry_tau",100,0.00211346675153029,-0.000919091063804515,0.00514602456686509
"n=500, p=100","ar1_rho_0.9","quantile_8","delta_mean_jaccard_s",100,0.0106721056721057,-0.0023250007948311,0.0236692121390425
"n=500, p=100","ar1_rho_0.9","quantile_8","delta_mean_jaccard_2s",100,0.038542904197252,0.0256613472611371,0.051424461133367
"n=500, p=100","ar1_rho_0.9","equal_width_4","delta_mean_entry_tau",100,-0.011104923898,-0.0146912223565083,-0.00751862543949177
"n=500, p=100","ar1_rho_0.9","equal_width_4","delta_mean_jaccard_s",100,-0.0168814518814519,-0.0321169286502329,-0.00164597511267084
"n=500, p=100","ar1_rho_0.9","equal_width_4","delta_mean_jaccard_2s",100,0.015695201175636,0.000476590480103884,0.030913811871168
"n=500, p=100","block","quantile_2","delta_mean_entry_tau",100,-0.00409290700777233,-0.00632844052414253,-0.00185737349140213
"n=500, p=100","block","quantile_2","delta_mean_jaccard_s",100,-0.016033411033411,-0.0269149090070602,-0.00515191305976189
"n=500, p=100","block","quantile_2","delta_mean_jaccard_2s",100,0.0070445918815484,-0.00326465730176857,0.0173538410648654
"n=500, p=100","block","quantile_4","delta_mean_entry_tau",100,-0.00862291624184037,-0.0110638773541938,-0.00618195512948696
"n=500, p=100","block","quantile_4","delta_mean_jaccard_s",100,-0.0204839604839605,-0.0346199818125429,-0.00634793915537806
"n=500, p=100","block","quantile_4","delta_mean_jaccard_2s",100,-0.00559319907145995,-0.0159508205743365,0.00476442243141657
"n=500, p=100","block","quantile_8","delta_mean_entry_tau",100,-0.00255354082647994,-0.0049628640932788,-0.000144217559681068
"n=500, p=100","block","quantile_8","delta_mean_jaccard_s",100,-0.0104778554778555,-0.0208544312228985,-0.000101279732812513
"n=500, p=100","block","quantile_8","delta_mean_jaccard_2s",100,0.00371610828784741,-0.00735291528839912,0.0147851318640939
"n=500, p=100","block","equal_width_4","delta_mean_entry_tau",100,-0.0138298547978283,-0.0166538984535677,-0.0110058111420889
"n=500, p=100","block","equal_width_4","delta_mean_jaccard_s",100,-0.0503502053502053,-0.0644436226663936,-0.0362567880340171
"n=500, p=100","block","equal_width_4","delta_mean_jaccard_2s",100,-0.0160026613483135,-0.0289663779578622,-0.00303894473876484
