"dimension","correlation","scheme","metric","replications","mean","sd","se","ci_lower","ci_upper"
"n=100, p=100","independent","equal_width_4","delta_mean_jaccard_2s",100,-0.010262877219399,0.0329732428091777,0.00329732428091777,-0.0167256328099978,-0.00380012162880013
"n=100, p=100","ar1_rho_0.5","quantile_2","delta_mean_entry_tau",100,-0.0104588308332459,0.03377571243465,0.003377571243465,-0.0170788704704373,-0.00383879119605451
"n=100, p=100","ar1_rho_0.5","quantile_2","delta_mean_jaccard_s",100,-0.00404040404040404,0.0425169402336663,0.00425169402336663,-0.0123737243262026,0.00429291624539455
"n=100, p=100","ar1_rho_0.5","quantile_2","delta_mean_jaccard_2s",100,0.000739381391555303,0.0366459442545704,0.00366459442545704,-0.0064432236823405,0.0079219864654511
"n=100, p=100","ar1_rho_0.5","quantile_4","delta_mean_entry_tau",100,0.00155489699546134,0.028967228772284,0.0028967228772284,-0.00412267984390632,0.007232473834829
"n=100, p=100","ar1_rho_0.5","quantile_4","delta_mean_jaccard_s",100,-0.00535353535353536,0.0370636017930451,0.00370636017930451,-0.0126180013049722,0.00191093059790149
"n=100, p=100","ar1_rho_0.5","quantile_4","delta_mean_jaccard_2s",100,0.00446608946608946,0.031474171590157,0.0031474171590157,-0.00170284816558131,0.0106350270977602
"n=100, p=100","ar1_rho_0.5","quantile_8","delta_mean_entry_tau",100,0.0104204095293273,0.0286031207874151,0.00286031207874151,0.00481419785499394,0.0160266212036607
"n=100, p=100","ar1_rho_0.5","quantile_8","delta_mean_jaccard_s",100,-0.006993006993007,0.0412627769011666,0.00412627769011666,-0.0150805112656357,0.00109449727962166
"n=100, p=100","ar1_rho_0.5","quantile_8","delta_mean_jaccard_2s",100,-0.000169709517535608,0.0340984097278506,0.00340984097278506,-0.00685299782419432,0.00651357878912311
"n=100, p=100","ar1_rho_0.5","equal_width_4","delta_mean_entry_tau",100,0.00103411598744767,0.0292743128925513,0.00292743128925513,-0.00470364933949239,0.00677188131438773
"n=100, p=100","ar1_rho_0.5","equal_width_4","delta_mean_jaccard_s",100,-0.00406371406371407,0.0413469108145457,0.00413469108145457,-0.012167708583365,0.00404028045593689
"n=100, p=100","ar1_rho_0.5","equal_width_4","delta_mean_jaccard_2s",100,0.00445165945165945,0.0324888312115903,0.00324888312115903,-0.00191615146581225,0.0108194703691312
"n=100, p=100","ar1_rho_0.9","quantile_2","delta_mean_entry_tau",100,0.0083405356592532,0.0389838260610095,0.00389838260610095,0.000699705751295345,0.015981365567211
"n=100, p=100","ar1_rho_0.9","quantile_2","delta_mean_jaccard_s",100,0.00578671328671328,0.0807037487539692,0.00807037487539692,-0.0100312214690647,0.0216046480424912
"n=100, p=100","ar1_rho_0.9","quantile_2","delta_mean_jaccard_2s",100,0.0309782632826111,0.0851596730962613,0.00851596730962613,0.0142869673557439,0.0476695592094783
