"path_specification","n","p","dimension","correlation","scheme","method","target","evaluated_replications","reached_target_percent","mean_selected_size"
"primary_controlled",100,200,"n=100, p=200","independent","quantile_8","lar","2s",100,100,40
"primary_controlled",100,200,"n=100, p=200","independent","quantile_8","glmnet","s",100,100,20.49
"primary_controlled",100,200,"n=100, p=200","independent","quantile_8","glmnet","2s",100,100,40.46
"primary_controlled",100,200,"n=100, p=200","independent","equal_width_4","lasso","s",100,100,20
"primary_controlled",100,200,"n=100, p=200","independent","equal_width_4","lasso","2s",100,100,40
"primary_controlled",100,200,"n=100, p=200","independent","equal_width_4","lar","s",100,100,20
"primary_controlled",100,200,"n=100, p=200","independent","equal_width_4","lar","2s",100,100,40
"primary_controlled",100,200,"n=100, p=200","independent","equal_width_4","glmnet","s",100,100,20.53
"primary_controlled",100,200,"n=100, p=200","independent","equal_width_4","glmnet","2s",100,100,40.56
"primary_controlled",100,200,"n=100, p=200","ar1_rho_0.5","original","lasso","s",100,100,20
"primary_controlled",100,200,"n=100, p=200","ar1_rho_0.5","original","lasso","2s",100,100,40
"primary_controlled",100,200,"n=100, p=200","ar1_rho_0.5","original","lar","s",100,100,20
"primary_controlled",100,200,"n=100, p=200","ar1_rho_0.5","original","lar","2s",100,100,40
"primary_controlled",100,200,"n=100, p=200","ar1_rho_0.5","original","glmnet","s",100,100,20.34
"primary_controlled",100,200,"n=100, p=200","ar1_rho_0.5","original","glmnet","2s",100,100,40.43
"primary_controlled",100,200,"n=100, p=200","ar1_rho_0.5","quantile_2","lasso","s",100,100,20
"primary_controlled",100,200,"n=100, p=200","ar1_rho_0.5","quantile_2","lasso","2s",100,100,40
"primary_controlled",100,200,"n=100, p=200","ar1_rho_0.5","quantile_2","lar","s",100,100,20
"primary_controlled",100,200,"n=100, p=200","ar1_rho_0.5","quantile_2","lar","2s",100,100,40
"primary_controlled",100,200,"n=100, p=200","ar1_rho_0.5","quantile_2","glmnet","s",100,100,20.36
"primary_controlled",100,200,"n=100, p=200","ar1_rho_0.5","quantile_2","glmnet","2s",100,100,40.34
"primary_controlled",100,200,"n=100, p=200","ar1_rho_0.5","quantile_4","lasso","s",100,100,20
"primary_controlled",100,200,"n=100, p=200","ar1_rho_0.5","quantile_4","lasso","2s",100,100,40
"primary_controlled",100,200,"n=100, p=200","ar1_rho_0.5","quantile_4","lar","s",100,100,20
"primary_controlled",100,200,"n=100, p=200","ar1_rho_0.5","quantile_4","lar","2s",100,100,40
"primary_controlled",100,200,"n=100, p=200","ar1_rho_0.5","quantile_4","glmnet","s",100,100,20.49
"primary_controlled",100,200,"n=100, p=200","ar1_rho_0.5","quantile_4","glmnet","2s",100,100,40.39
"primary_controlled",100,200,"n=100, p=200","ar1_rho_0.5","quantile_8","lasso","s",100,100,20
"primary_controlled",100,200,"n=100, p=200","ar1_rho_0.5","quantile_8","lasso","2s",100,100,40
"primary_controlled",100,200,"n=100, p=200","ar1_rho_0.5","quantile_8","lar","s",100,100,20
"primary_controlled",100,200,"n=100, p=200","ar1_rho_0.5","quantile_8","lar","2s",100,100,40
"primary_controlled",100,200,"n=100, p=200","ar1_rho_0.5","quantile_8","glmnet","s",100,100,20.48
"primary_controlled",100,200,"n=100, p=200","ar1_rho_0.5","quantile_8","glmnet","2s",100,100,40.44
"primary_controlled",100,200,"n=100, p=200","ar1_rho_0.5","equal_width_4","lasso","s",100,100,20
