"n","p","dimension","correlation","scheme","metric","paired_difference_mean_primary","paired_difference_ci_lower_primary","paired_difference_ci_upper_primary","paired_difference_mean_sensitivity","paired_difference_ci_lower_sensitivity","paired_difference_ci_upper_sensitivity","absolute_difference","same_sign","primary_direction","sensitivity_direction","same_ci_direction"
100,20,"n=100, p=20","ar1_rho_0.9","equal_width_4","A_entry",0.0156778037669687,0.0104668700646694,0.020888737469268,-0.00167488931818039,-0.00621707729470116,0.00286729865834038,0.0173526930851491,FALSE,"positive","includes_zero",FALSE
100,20,"n=100, p=20","ar1_rho_0.9","equal_width_4","A_set_s",-0.000396825396825393,-0.0146166054551051,0.0138229546614543,-0.00293650793650793,-0.0162861834807599,0.0104131676077441,0.00253968253968254,TRUE,"includes_zero","includes_zero",TRUE
100,20,"n=100, p=20","ar1_rho_0.9","equal_width_4","A_set_2s",0.0361122766122766,0.0182925879946381,0.0539319652299151,0.0353224553224553,0.0177455016914303,0.0528994089534803,0.000789821289821288,TRUE,"positive","positive",TRUE
100,20,"n=100, p=20","ar1_rho_0.9","equal_width_4","F1",-0.23340404040404,-0.274246638758928,-0.192561442049153,-0.233676767676768,-0.274802961426503,-0.192550573927033,0.000272727272727258,TRUE,"negative","negative",TRUE
100,20,"n=100, p=20","ar1_rho_0.9","equal_width_4","RMSE",0.553222617170052,0.499776185171736,0.606669049168368,0.553375347271813,0.499872299328217,0.606878395215408,0.000152730101760867,TRUE,"positive","positive",TRUE
100,20,"n=100, p=20","block","quantile_2","A_entry",0.00771885844485981,0.002601798297455,0.0128359185922646,-0.00319306863589834,-0.0073293638492701,0.000943226577473413,0.0109119270807582,FALSE,"positive","includes_zero",FALSE
100,20,"n=100, p=20","block","quantile_2","A_set_s",-0.00142857142857143,-0.010694568707562,0.00783742585041917,0.00301587301587302,-0.0045234387628982,0.0105551847946442,0.00444444444444444,FALSE,"includes_zero","includes_zero",TRUE
100,20,"n=100, p=20","block","quantile_2","A_set_2s",0.00550699300699301,-0.0096750919569133,0.0206890779708993,0.00603729603729604,-0.00912448317531806,0.0211990752499101,0.00053030303030303,TRUE,"includes_zero","includes_zero",TRUE
100,20,"n=100, p=20","block","quantile_2","F1",-0.0961616161616162,-0.128518756931164,-0.0638044753920683,-0.0962222222222222,-0.128827129167,-0.0636173152774444,6.06060606060527e-05,TRUE,"negative","negative",TRUE
100,20,"n=100, p=20","block","quantile_2","RMSE",0.252167247857353,0.204391715854719,0.299942779859987,0.252621955296008,0.204753503153719,0.300490407438296,0.000454707438655,TRUE,"positive","positive",TRUE
