"dataset","representation","method","k","n_used","silhouette","davies_bouldin","calinski_harabasz","adjusted_rand_index","normalized_mutual_information","clustering_accuracy","purity","runtime_sec"
"vehicle_silhouettes","original","kmeans",3,846,0.291839696861465,1.30851225014735,456.793938339235,0.0732811615089602,0.0994937969692881,0.364066193853428,0.364066193853428,0.0400000000000063
"vehicle_silhouettes","original","kmeans",4,846,0.305389094559658,1.06835040952416,433.9752360232,0.0761244520806915,0.117064874760899,0.359338061465721,0.367612293144208,0.0499999999999972
"vehicle_silhouettes","original","kmeans",5,846,0.248190855663308,1.29288109950736,381.92944024104,0.0698085640427962,0.0986737877690119,0.358156028368794,0.379432624113475,0.0700000000000074
"vehicle_silhouettes","original","kmeans",6,846,0.212772493085394,1.31984499988358,352.76630021878,0.0716409986758923,0.112866589763104,0.317966903073286,0.401891252955083,0.0600000000000023
"vehicle_silhouettes","sparsified","kmeans",2,846,0.159704366021167,2.23141057277862,147.734127115388,0.0861182790326878,0.139366335769514,0.373522458628842,0.373522458628842,0.0499999999999972
"vehicle_silhouettes","sparsified","kmeans",3,846,0.144112243588982,2.1833980471315,123.452892331645,0.0932494959988438,0.157086637587298,0.434988179669031,0.434988179669031,0.129999999999995
"vehicle_silhouettes","sparsified","kmeans",4,846,0.164645437655601,2.12092692130962,116.588529035499,0.12015079256137,0.179403807810797,0.449172576832151,0.449172576832151,0.109999999999999
"vehicle_silhouettes","sparsified","kmeans",5,846,0.160294502646731,2.23384894612974,105.260690388121,0.127511869575088,0.192436561377386,0.373522458628842,0.481087470449173,0.220000000000013
"vehicle_silhouettes","sparsified","kmeans",6,846,0.162454927005545,2.01367952402438,96.19999798519,0.131521584720385,0.188679635274588,0.387706855791962,0.484633569739953,0.109999999999999
"statlog_image_segmentation","original","kmeans",2,2310,0.342094855542781,1.2833888305145,1027.19450381844,0.174412502358891,0.396951957217713,0.285714285714286,0.285714285714286,0.0700000000000074
"statlog_image_segmentation","original","kmeans",3,2310,0.303837872516141,1.4259150282889,873.439894531254,0.307812367585163,0.545078969636937,0.428138528138528,0.428138528138528,0.109999999999999
"statlog_image_segmentation","original","kmeans",4,2310,0.282365105727068,1.19609735821764,881.617384803372,0.28100131240799,0.496364071390885,0.433766233766234,0.433766233766234,0.109999999999999
"statlog_image_segmentation","original","kmeans",5,2310,0.332184123441328,1.12293817890841,937.793898597654,0.481124794327038,0.671715832685752,0.573593073593074,0.573593073593074,0.169999999999987
"statlog_image_segmentation","original","kmeans",6,2310,0.349651764355717,1.07528778138381,907.297938891681,0.479946265845225,0.647648968275677,0.566666666666667,0.572727272727273,0.150000000000006
"statlog_image_segmentation","original","kmeans",7,2310,0.354304568572424,1.08094539614402,850.933512179981,0.459982026912638,0.585719552102595,0.545021645021645,0.553679653679654,0.189999999999998
"statlog_image_segmentation","original","kmeans",8,2310,0.302317087803105,1.20412334684763,805.063290824636,0.479743116263243,0.590247246711292,0.594805194805195,0.609090909090909,0.189999999999998
"statlog_image_segmentation","sparsified","kmeans",2,2310,0.136752141017774,2.05132395495997,341.814726134946,0.0768839175982088,0.233280130151567,0.242424242424242,0.242424242424242,0.179999999999993
"statlog_image_segmentation","sparsified","kmeans",3,2310,0.178400863664288,1.87008679847113,376.258564848379,0.20253776158827,0.448066180807898,0.383982683982684,0.383982683982684,0.280000000000001
"statlog_image_segmentation","sparsified","kmeans",4,2310,0.206761186931062,2.02666299371245,366.18337956034,0.372247394799097,0.550892341574687,0.512121212121212,0.512121212121212,0.359999999999999
"statlog_image_segmentation","sparsified","kmeans",5,2310,0.203395636571877,2.03575669542324,343.045316865645,0.473899295541649,0.631762741129585,0.586147186147186,0.586147186147186,0.439999999999998
"statlog_image_segmentation","sparsified","kmeans",6,2310,0.216062269634988,1.81647252369638,312.049045061296,0.478905241841954,0.637432058560299,0.586147186147186,0.591774891774892,0.399999999999991
"statlog_image_segmentation","sparsified","kmeans",7,2310,0.198268441971025,1.86354208959132,289.517347574642,0.44830257659949,0.597876485612009,0.576623376623377,0.582251082251082,0.489999999999995
